from_slug,to_slug,type,note
org-development,talent-development,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
org-development,hrbp,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
talent-development,training-development,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
talent-development,org-development,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
training-development,talent-development,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
training-development,vocational-trainer,adjacent,企业培训与职业培训讲师相邻
consulting,corporate-strategy,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
consulting,business-analyst,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
business-analyst,consulting,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
business-analyst,data-analyst,adjacent,BA与数据分析师边界高频混淆
corporate-strategy,consulting,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
corporate-strategy,ma-integration-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
digital-transformation-consulting,consulting,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
digital-transformation-consulting,project-management-it-implementation,adjacent,数字化咨询落地即IT实施
hr-consulting,consulting,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hr-consulting,org-development,adjacent,人力咨询与OD方法论同源
investor-relations-specialist,brand-pr,adjacent,IR与公关同为对外沟通职能
investor-relations-specialist,corporate-strategy,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
it-audit-consulting,risk-advisory,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
it-audit-consulting,internal-audit,adjacent,IT审计与内审程序同源
ma-integration-specialist,ma-financial-due-diligence,adjacent,并购整合与并购尽调同一交易链条
ma-integration-specialist,corporate-strategy,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
risk-advisory,internal-audit,adjacent,风险咨询与内审内控方法同源
risk-advisory,business-continuity-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
business-continuity-specialist,risk-advisory,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
business-continuity-specialist,security,adjacent,BCM与信息安全应急响应交叉
marketing,brand-pr,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
marketing,marketing-digital-performance,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
marketing,market-research,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
marketing-b2b-industrial,marketing,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
marketing-b2b-industrial,sales-industrial-equipment,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
marketing-b2c-consumer,marketing,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
marketing-b2c-consumer,trade-marketing-specialist,adjacent,消费品营销与渠道市场同域
marketing-digital-performance,ad-optimizer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
marketing-digital-performance,seo-sem-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
marketing-digital-performance,growth,adjacent,效果营销与增长运营手段重合
ad-optimizer,marketing-digital-performance,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ad-optimizer,seo-sem-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
seo-sem-specialist,ad-optimizer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
seo-sem-specialist,marketing-digital-performance,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
brand-pr,marketing,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
brand-pr,employer-branding-specialist,adjacent,品牌方法论用于雇主品牌
market-research,ux-research,adjacent,市场研究与用户研究方法同源
market-research,data-analyst,adjacent,研究岗依赖数据分析
market-research,marketing,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
event-marketing,event-operations,adjacent,活动市场与活动运营职责相邻
event-marketing,exhibition-project-manager,adjacent,会展营销与会展项目管理同域
crm-specialist,membership-operations,adjacent,CRM与会员运营同为存量经营
crm-specialist,sales-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
cross-border-ecommerce,ecommerce-ops,adjacent,跨境与境内电商运营互为相邻
cross-border-ecommerce,foreign-trade-sales,adjacent,跨境电商与传统外贸同为出海销售
sales,key-account-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
sales,channel-sales,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
sales,sales-development-rep,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
key-account-manager,sales,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
key-account-manager,bd,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
channel-sales,sales,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
channel-sales,sales-fmcg-channel,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
bd,sales,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
bd,key-account-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
sales-development-rep,sales,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
sales-development-rep,telemarketing,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
telemarketing,sales-development-rep,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
telemarketing,customer-service-rep,adjacent,电销与呼叫中心客服场景相邻
sales-operations,sales,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
sales-operations,crm-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
sales-auto-consultant,sales,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
sales-auto-consultant,automotive-aftersales-service-advisor,adjacent,汽车销售与售后服务同一门店链路
sales-education-course-consultant,sales,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
sales-education-course-consultant,study-abroad-consultant,adjacent,课程顾问与留学顾问同为教育咨询销售
sales-enterprise-b2b-it,sales-saas,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
sales-enterprise-b2b-it,key-account-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
sales-saas,sales-enterprise-b2b-it,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
sales-saas,customer-success-saas,adjacent,SaaS销售与客户成功同一客户旅程
sales-fmcg-channel,channel-sales,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
sales-fmcg-channel,trade-marketing-specialist,adjacent,快消渠道销售与TM协同
sales-industrial-equipment,marketing-b2b-industrial,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
sales-industrial-equipment,key-account-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
sales-insurance-agent,bancassurance-sales,adjacent,个险与银保渠道互为相邻
sales-insurance-agent,telemarketing,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
sales-pharma-medical-device,medical-rep,adjacent,器械销售与医药代表同为医疗销售
sales-pharma-medical-device,hospital-medical-device-sales,adjacent,同为医疗设备销售,渠道不同
sales-real-estate-agent-newhome,real-estate-agent,adjacent,新房渠道与二手经纪互为相邻
sales-real-estate-agent-newhome,real-estate,adjacent,案场销售与营销策划同链条
legal,paralegal,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
legal,contract-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
legal,compliance-privacy,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
paralegal,legal,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
paralegal,lawyer-litigation,adjacent,律师助理是诉讼律师的入行前站
contract-manager,legal,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
contract-manager,procurement,adjacent,合同管理与采购流程紧密协作
ip-patent,legal,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ip-patent,lawyer-corporate-nonlitigation,adjacent,知产业务与非诉律师执业交叉
compliance-privacy,legal,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
compliance-privacy,security,adjacent,数据合规与网络安全治理交叉
legal-internet-compliance,legal,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
legal-internet-compliance,platform-operations,adjacent,互联网合规与内容安全运营协作
legal-ma-capital-markets,legal,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
legal-ma-capital-markets,lawyer-corporate-nonlitigation,adjacent,企业端与律所端资本市场法务互为镜像
legal-ma-capital-markets,investment-banking,adjacent,资本市场法务与投行同一交易链
admin,executive-assistant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
admin,front-desk-receptionist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
admin,facility-management,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
executive-assistant,admin,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
executive-assistant,front-desk-receptionist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
front-desk-receptionist,admin,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
front-desk-receptionist,executive-assistant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
facility-management,admin,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
facility-management,property-management,adjacent,企业后勤与物业管理技能同源
customer-service-rep,customer-success,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
customer-service-rep,telemarketing,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
customer-success,customer-service-rep,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
customer-success,customer-success-saas,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
customer-success-ecommerce,customer-success,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
customer-success-ecommerce,ecommerce-ops,adjacent,电商客服与电商运营同平台生态
customer-success-saas,customer-success,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
customer-success-saas,sales-saas,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
logistics-specialist,supply-chain,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
logistics-specialist,warehouse-management,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
procurement,procurement-strategic-sourcing,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
procurement,vendor-management-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
procurement,supply-chain,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
procurement-strategic-sourcing,procurement,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
procurement-strategic-sourcing,vendor-management-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
vendor-management-specialist,procurement,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
vendor-management-specialist,supply-chain,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
project-management,project-management-it-implementation,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
project-management,business-analyst,adjacent,PMO与BA在项目治理中相邻
project-management-construction,project-management,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
project-management-construction,construction-project-manager,adjacent,甲方工程PM与施工方项目经理互为镜像
project-management-it-implementation,project-management,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
project-management-it-implementation,digital-transformation-consulting,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
supply-chain,logistics-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
supply-chain,procurement,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
supply-chain,supply-chain-planner,adjacent,通用供应链与制造业计划岗相邻
supply-chain-ecommerce,supply-chain,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
supply-chain-ecommerce,ecommerce-ops,adjacent,电商供应链服务电商运营
supply-chain-manufacturing-scm,supply-chain,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
supply-chain-manufacturing-scm,supply-chain-planner,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
warehouse-management,logistics-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
warehouse-management,logistics-warehouse-supervisor,adjacent,企业仓储与三方物流仓储互为相邻
accountant-gl,accounts-payable,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
accountant-gl,accounts-receivable,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
accountant-gl,financial-reporting,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
accountant-manufacturing-cost,cost-accounting,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
accountant-manufacturing-cost,accountant-gl,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
accounts-payable,accounts-receivable,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
accounts-payable,accountant-gl,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
accounts-receivable,accounts-payable,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
accounts-receivable,accountant-gl,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
auditor-firm,cpa-audit-trainee,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
auditor-firm,internal-audit,adjacent,事务所审计与企业内审互为跳转通道
auditor-firm,ma-financial-due-diligence,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
budget-analyst,fpa-analyst,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
budget-analyst,financial-controller,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
cashier,treasury,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
cashier,accountant-gl,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
cost-accounting,accountant-manufacturing-cost,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
cost-accounting,budget-analyst,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
cpa-audit-trainee,auditor-firm,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
cpa-audit-trainee,accountant-gl,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
finance-bp,fpa-analyst,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
finance-bp,financial-controller,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
finance-management-trainee,accountant-gl,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
finance-management-trainee,fpa-analyst,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
financial-controller,financial-reporting,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
financial-controller,finance-bp,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
financial-reporting,accountant-gl,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
financial-reporting,financial-controller,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
fpa-analyst,finance-bp,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
fpa-analyst,budget-analyst,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
internal-audit,auditor-firm,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
internal-audit,risk-advisory,adjacent,内审与风险咨询方法同源
ma-financial-due-diligence,auditor-firm,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ma-financial-due-diligence,investment-banking,adjacent,财务尽调与投行同一交易链
tax,tax-advisory-firm,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
tax,accountant-gl,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
tax-advisory-firm,tax,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
tax-advisory-firm,auditor-firm,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
treasury,cashier,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
treasury,financial-controller,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
cloud-solutions-architect,cloud-platform-engineer,adjacent,云架构与云平台工程同域
cloud-solutions-architect,site-reliability-platform-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
database-administrator,devops-sre,adjacent,DBA与运维同属基础设施保障
database-administrator,data-warehouse-dev,adjacent,DBA与数仓开发共享数据库技能
site-reliability-platform-engineer,devops-sre,adjacent,平台工程与SRE理念同源
site-reliability-platform-engineer,cloud-platform-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
automation-engineer,plc-control-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
automation-engineer,electrical-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
electrical-engineer,plc-control-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
electrical-engineer,power-electronics-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
equipment-engineer-manufacturing,automation-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
equipment-engineer-manufacturing,process-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
equipment-engineer-manufacturing,semiconductor-equipment-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
industrial-engineer-ie,production-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
industrial-engineer-ie,pmc-production-planning,adjacent,IE与生产计划同为产能效率岗
marine-shipbuilding-engineer,mechanical-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
marine-shipbuilding-engineer,materials-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
materials-engineer,process-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
materials-engineer,battery-materials-rd-engineer,adjacent,通用材料与电池材料研发相邻
mechanical-engineer,automation-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
mechanical-engineer,robotics-mechanical-engineer,adjacent,机械工程向机器人结构方向分化
optical-engineer,rd-hardware-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
optical-engineer,materials-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
plc-control-engineer,automation-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
plc-control-engineer,electrical-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
power-electronics-engineer,electrical-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
power-electronics-engineer,new-energy-battery-engineer,adjacent,电力电子与新能源电池系统交叉
process-engineer,production-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
process-engineer,semiconductor-process-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
production-engineer,process-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
production-engineer,quality-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
quality-engineer,reliability-test-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
quality-engineer,automotive-quality-engineer,adjacent,通用质量与汽车质量工程相邻
quality-engineer,production-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
rd-hardware-engineer,embedded,adjacent,硬件研发与嵌入式开发协作紧密
